item_code,item_name_en,item_name_ar,active
SUPF-ONDA-D5A06AEF54,Coconut milk,Coconut milk,True
SUPF-ONDA-D70AFE47CA,12 oz Lid (paper),12 oz Lid (paper),True
SUPF-ONDA-D933CCC32E,Cheesecake pekan,Cheesecake pekan,True
SUPF-ONDA-E13E4B7EB9,Sweet box (big),Sweet box (big),True
SUPF-ONDA-E1AC6EDCAB,7 up,7 up,True
SUPF-ONDA-E42D4FE77F,Machine for air fresh,Machine for air fresh,True
SUPF-ONDA-E657FBDE68,Milk full fat,Milk full fat,True
SUPF-ONDA-E9A5871DEF,Coffee Beans Guatemala,Coffee Beans Guatemala,True
SUPF-ONDA-F2CD63F1D2,Tiramisu,Tiramisu,True
SUPF-ONDA-F501A14BF1,Coffee stirrers,Coffee stirrers,True
SUPF-ONDA-F606BE5BD6,Coffee of the day filter (size 13),Coffee of the day filter (size 13),True
SUPF-ONDA-F6FD138E79,Data printing machine papers,Data printing machine papers,True
SUPF-ONDA-F871C8E993,Lemon Syrup,Lemon Syrup,True
SUPF-ONDA-FA4D760435,6 oz Lid,6 oz Lid,True
SUPF-ONDA-FA5465032E,Coffee Beans Ethiopia,Coffee Beans Ethiopia,True
SUPF-ONDA-FAE93E0BAB,TURKEY CROISSANT,TURKEY CROISSANT,True
SUPF-ONDA-FEAC319934,Matcha,Matcha,True
SUPF-ONDA-FFC04AA45A,Alpro vanilla milk,Alpro vanilla milk,True
